product_id,Revenue,Profit,Orders,Quantity,product_name,category,sub_category,Cumulative_Revenue,Cumulative_Revenue_Pct,Revenue_Share_Pct,Is_Top20_Pct,Rank
TEC-PH-10004358,2311.0,225.546,5,25,"Cisco Audio Dock, VoIP",Technology,Phones,2311.0,0.18,0.1804,True,1
OFF-ST-10000886,2107.0,84.16,5,16,"Smead Lockers, Wire Frame",Office Supplies,Storage,4418.0,0.34,0.1645,True,2
TEC-PH-10003945,2070.0,-23.587999999999997,7,19,"Nokia Audio Dock, VoIP",Technology,Phones,6488.0,0.51,0.1616,True,3
OFF-ST-10003208,2033.0,357.47619999999995,5,13,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,8521.0,0.67,0.1587,True,4
TEC-AC-10002049,1984.0,357.09119999999996,4,16,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,10505.0,0.82,0.1549,True,5
TEC-PH-10001917,1919.0,-6.344999999999999,5,21,"Motorola Speaker Phone, Full Size",Technology,Phones,12424.0,0.97,0.1498,True,6
TEC-CO-10000679,1915.0,-60.043200000000006,5,14,"Hewlett Personal Copier, High-Speed",Technology,Copiers,14339.0,1.12,0.1495,True,7
TEC-CO-10003678,1873.0,183.46464,4,24,"HP Personal Copier, Color",Technology,Copiers,16212.0,1.27,0.1462,True,8
FUR-CH-10002647,1870.0,160.788,7,27,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,18082.0,1.41,0.146,True,9
OFF-ST-10003816,1832.0,204.3804,4,12,Fellowes High-Stak Drawer Files,Office Supplies,Storage,19914.0,1.55,0.143,True,10
TEC-PH-10004261,1832.0,344.457,5,15,"Nokia Signal Booster, Full Size",Technology,Phones,21746.0,1.7,0.143,True,11
OFF-ST-10004837,1728.0,43.14,3,14,"Eldon File Cart, Single Width",Office Supplies,Storage,23474.0,1.83,0.1349,True,12
OFF-SME-10004370,1708.0,-58.842,5,14,"Smead File Cart, Blue",Office Supplies,Storage,25182.0,1.97,0.1333,True,13
TEC-CO-10003964,1685.0,232.94304,3,8,"Canon Fax Machine, High-Speed",Technology,Copiers,26867.0,2.1,0.1315,True,14
FUR-BO-10002632,1665.0,237.84,3,12,"Sauder Corner Shelving, Pine",Furniture,Bookcases,28532.0,2.23,0.13,True,15
OFF-ST-10002271,1635.0,366.84000000000003,8,30,"Rogers Shelving, Wire Frame",Office Supplies,Storage,30167.0,2.35,0.1276,True,16
TEC-PH-10004977,1566.0,360.6216,4,16,GE 30524EE4,Technology,Phones,31733.0,2.48,0.1222,True,17
FUR-CH-10003883,1551.0,-0.22800000000000864,4,15,"Office Star Swivel Stool, Set of Two",Furniture,Chairs,33284.0,2.6,0.1211,True,18
FUR-CH-10001130,1532.0,-54.792,4,15,"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs,34816.0,2.72,0.1196,True,19
OFF-AR-10004151,1508.0,270.63,7,31,"BIC Sketch Pad, Blue",Office Supplies,Art,36324.0,2.84,0.1177,True,20
FUR-CH-10003109,1508.0,184.952,5,18,"Office Star Rocking Chair, Set of Two",Furniture,Chairs,37832.0,2.95,0.1177,True,21
TEC-STA-10004181,1500.0,165.0,3,5,"StarTech Inkjet, Durable",Technology,Machines,39332.0,3.07,0.1171,True,22
FUR-BO-10003159,1491.0,56.09219999999999,5,18,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,40823.0,3.19,0.1164,True,23
TEC-PH-10002496,1467.0,155.99,5,12,Cisco SPA301,Technology,Phones,42290.0,3.3,0.1145,True,24
FUR-CH-10002602,1419.0,78.5096,4,12,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,43709.0,3.41,0.1108,True,25
FUR-CH-10000994,1418.0,180.36,4,12,"Harbour Creations Rocking Chair, Black",Furniture,Chairs,45127.0,3.52,0.1107,True,26
OFF-ELD-10001694,1408.0,253.11,4,11,"Eldon File Cart, Single Width",Office Supplies,Storage,46535.0,3.63,0.1099,True,27
OFF-ST-10000648,1407.0,56.06999999999999,5,12,"Eldon File Cart, Industrial",Office Supplies,Storage,47942.0,3.74,0.1098,True,28
TEC-PH-10001557,1368.0,227.46630000000002,4,16,"Apple Speaker Phone, VoIP",Technology,Phones,49310.0,3.85,0.1068,True,29
FUR-BO-10002510,1338.0,155.544,3,9,"Bush 3-Shelf Cabinet, Mobile",Furniture,Bookcases,50648.0,3.95,0.1044,True,30
OFF-ST-10000430,1319.0,117.15,3,11,"Tenex File Cart, Blue",Office Supplies,Storage,51967.0,4.06,0.103,True,31
FUR-BO-10004821,1318.0,-0.324,2,12,"Dania Corner Shelving, Traditional",Furniture,Bookcases,53285.0,4.16,0.1029,True,32
TEC-MA-10003923,1316.0,17.211,3,11,"Okidata Receipt Printer, Durable",Technology,Machines,54601.0,4.26,0.1027,True,33
OFF-ST-10000872,1304.0,-68.67,4,10,"Fellowes File Cart, Single Width",Office Supplies,Storage,55905.0,4.36,0.1018,True,34
TEC-PH-10001264,1296.0,62.70400000000001,4,14,"Cisco Signal Booster, VoIP",Technology,Phones,57201.0,4.46,0.1012,True,35
TEC-AC-10002760,1281.0,-53.376,4,20,"Memorex Memory Card, Erganomic",Technology,Accessories,58482.0,4.56,0.1,True,36
TEC-CO-10001221,1273.0,23.971479999999993,3,11,"Brother Fax and Copier, Laser",Technology,Copiers,59755.0,4.66,0.0994,True,37
FUR-CH-10004095,1262.0,77.508,4,16,"Novimex Steel Folding Chair, Black",Furniture,Chairs,61017.0,4.76,0.0985,True,38
FUR-CH-10003746,1252.0,96.29400000000001,2,5,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,62269.0,4.86,0.0977,True,39
FUR-TA-10001095,1245.0,-50.5441,4,21,Chromcraft Round Conference Tables,Furniture,Tables,63514.0,4.96,0.0972,True,40
FUR-FU-10000065,1245.0,186.66,2,17,"Rubbermaid Frame, Black",Furniture,Furnishings,64759.0,5.05,0.0972,True,41
TEC-PH-10001432,1241.0,-124.44,2,17,"Motorola Signal Booster, Cordless",Technology,Phones,66000.0,5.15,0.0969,True,42
FUR-BO-10002981,1239.0,49.152,3,14,"Bush Floating Shelf Set, Metal",Furniture,Bookcases,67239.0,5.25,0.0967,True,43
OFF-ST-10004695,1236.0,246.87,3,12,"Fellowes File Cart, Blue",Office Supplies,Storage,68475.0,5.34,0.0965,True,44
FUR-CH-10001752,1233.0,-48.7968,3,17,"Harbour Creations Steel Folding Chair, Black",Furniture,Chairs,69708.0,5.44,0.0962,True,45
FUR-FU-10001468,1231.0,-153.882,3,9,Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,70939.0,5.54,0.0961,True,46
TEC-PH-10001587,1228.0,132.788,5,26,"Apple Headset, Cordless",Technology,Phones,72167.0,5.63,0.0958,True,47
TEC-PH-10003932,1225.0,48.84,3,11,"Apple Audio Dock, VoIP",Technology,Phones,73392.0,5.73,0.0956,True,48
OFF-TEN-10000025,1224.0,318.42,5,6,"Tenex Lockers, Blue",Office Supplies,Storage,74616.0,5.82,0.0955,True,49
OFF-ST-10001128,1221.0,-71.0272,3,12,"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage,75837.0,5.92,0.0953,True,50
OFF-AR-10004519,1208.0,217.14,3,22,"Boston Canvas, Fluorescent",Office Supplies,Art,77045.0,6.01,0.0943,True,51
TEC-AC-10004853,1203.0,-70.17599999999999,5,20,"Logitech Memory Card, Programmable",Technology,Accessories,78248.0,6.11,0.0939,True,52
TEC-HP -10003618,1199.0,0.0,3,4,"HP Fax Machine, Digital",Technology,Copiers,79447.0,6.2,0.0936,True,53
TEC-MA-10004955,1196.0,-98.58,2,8,"Okidata Card Printer, Durable",Technology,Machines,80643.0,6.29,0.0934,True,54
TEC-AC-10004880,1184.0,118.08,4,16,"Logitech Keyboard, Programmable",Technology,Accessories,81827.0,6.39,0.0924,True,55
OFF-AR-10004492,1182.0,94.38000000000001,5,22,"BIC Canvas, Blue",Office Supplies,Art,83009.0,6.48,0.0923,True,56
TEC-AC-10000892,1170.0,363.6,5,14,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories,84179.0,6.57,0.0913,True,57
FUR-TA-10002958,1148.0,65.245,2,5,"Bevis Oval Conference Table, Walnut",Furniture,Tables,85327.0,6.66,0.0896,True,58
FUR-BO-10001646,1147.0,218.344,4,12,"Safco Corner Shelving, Metal",Furniture,Bookcases,86474.0,6.75,0.0895,True,59
TEC-AC-10003063,1137.0,186.72,3,12,"Memorex Memory Card, Programmable",Technology,Accessories,87611.0,6.84,0.0887,True,60
OFF-AR-10002454,1136.0,453.312,7,24,"Binney & Smith Canvas, Water Color",Office Supplies,Art,88747.0,6.93,0.0887,True,61
TEC-PH-10003481,1122.0,3.3045000000000044,4,20,"Apple Office Telephone, Full Size",Technology,Phones,89869.0,7.01,0.0876,True,62
OFF-ST-10000505,1117.0,93.168,3,13,"Fellowes File Cart, Blue",Office Supplies,Storage,90986.0,7.1,0.0872,True,63
FUR-BO-10003221,1115.0,166.98000000000002,2,11,"Safco Corner Shelving, Mobile",Furniture,Bookcases,92101.0,7.19,0.087,True,64
TEC-PH-10004618,1104.0,145.395,3,9,"Motorola Speaker Phone, VoIP",Technology,Phones,93205.0,7.27,0.0862,True,65
FUR-CH-10000351,1102.0,362.892,5,20,"Novimex Chairmat, Set of Two",Furniture,Chairs,94307.0,7.36,0.086,True,66
FUR-CH-10004011,1101.0,-110.16,3,6,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,95408.0,7.45,0.0859,True,67
FUR-CH-10000432,1099.0,58.356,3,12,"Harbour Creations Swivel Stool, Adjustable",Furniture,Chairs,96507.0,7.53,0.0858,True,68
FUR-BO-10003408,1096.0,73.788,2,9,"Ikea 3-Shelf Cabinet, Metal",Furniture,Bookcases,97603.0,7.62,0.0855,True,69
